2,2,7,60.0,0.0
3,3,8,60.0,0.0
4,5,11,60.0,0.0
5,6,12,63.3333,0.22535211267605637
6,7,13,63.3333,0.22535211267605637
7,8,14,63.3333,0.22535211267605637
8,9,15,63.3333,0.22535211267605637
9,10,19,50.0,0.0
11,12,21,50.0,0.0
12,13,25,53.3333,0.05405405405405396
14,15,26,56.6667,0.10958904109589043
15,16,27,50.0,0.0
2,2,7,60.0,0.0
3,3,8,60.0,0.0
4,4,12,60.0,0.0
5,5,13,60.0,0.0
6,6,14,60.0,0.0
7,7,15,60.0,0.0
8,8,16,60.0,0.0
9,9,17,60.0,0.0
10,10,18,60.0,0.0
11,11,21,60.0,0.0
13,13,27,63.3333,0.0
2,2,4,40.0,0.0
3,4,7,40.0,0.0
4,5,8,100.0,1.0
5,6,9,100.0,1.0
6,7,13,100.0,1.0
7,8,15,96.6667,0.9295774647887324
8,9,18,96.6667,0.9315068493150686
10,11,20,83.3333,0.6575342465753425
11,12,25,93.3333,0.8571428571428572
13,14,27,83.3333,0.6376811594202899
2,3,4,40.0,-0.36363636363636376
3,4,5,40.0,-0.36363636363636376
4,5,6,50.0,-0.19047619047619035
5,6,7,30.0,-0.29629629629629634
6,7,8,43.3333,-0.26865671641791045
7,8,9,60.0,0.14285714285714282
8,9,10,70.0,0.3999999999999999
9,10,14,76.6667,0.47761194029850756
10,11,15,73.3333,0.4285714285714285
11,12,16,76.6667,0.4927536231884059
12,13,18,66.6667,0.28571428571428564
13,14,21,66.6667,0.30555555555555547
15,16,23,56.6667,0.0845070422535212
16,17,25,66.6667,0.3589743589743589
18,19,27,66.6667,0.3421052631578947
3,4,6,80.0,0.6153846153846155
4,5,7,80.0,0.6153846153846155
5,6,8,80.0,0.6153846153846155
6,7,9,80.0,0.6153846153846155
7,8,12,80.0,0.6153846153846155
8,9,13,80.0,0.6153846153846155
9,10,17,50.0,0.13793103448275862
11,12,22,70.0,0.4444444444444443
12,13,25,56.6667,0.0845070422535212
14,15,27,63.3333,0.2666666666666666
2,2,8,60.0,0.0
3,3,11,60.0,0.0
4,4,12,60.0,0.0
5,5,13,60.0,0.0
6,6,17,56.6667,-0.06557377049180343
7,7,18,56.6667,-0.06557377049180343
8,8,21,56.6667,-0.06557377049180343
10,10,23,60.0,0.0
11,11,25,56.6667,-0.06557377049180343
13,13,27,60.0,0.09090909090909075
2,2,7,80.0,0.5945945945945946
3,3,11,83.3333,0.6376811594202899
4,5,12,83.3333,0.6376811594202899
5,6,15,83.3333,0.6478873239436621
6,7,16,90.0,0.7887323943661972
7,8,18,80.0,0.5833333333333334
8,9,21,86.6667,0.7368421052631581
10,11,22,86.6667,0.7368421052631581
11,12,25,76.6667,0.5333333333333334
13,14,27,90.0,0.8
2,3,4,20.0,-0.4285714285714285
3,4,5,30.0,-0.29629629629629634
4,5,9,30.0,-0.32911392405063294
5,6,10,20.0,-0.4285714285714285
6,7,11,10.0,-0.8
7,8,15,20.0,-0.6216216216216217
8,9,18,46.6667,-0.21212121212121224
9,10,21,53.3333,-0.09375000000000008
11,12,23,46.6667,-0.25000000000000006
12,13,25,50.0,-0.11940298507462689
14,15,27,56.6667,0.05797101449275352
2,3,4,70.0,0.3999999999999999
3,4,5,70.0,0.3999999999999999
4,6,7,70.0,0.3999999999999999
5,7,10,70.0,0.3999999999999999
6,8,12,90.0,0.736842105263158
7,9,14,70.0,0.3999999999999999
8,10,16,70.0,0.3999999999999999
9,11,19,70.0,0.3999999999999999
11,13,20,73.3333,0.4444444444444443
13,16,21,73.3333,0.4444444444444443
15,19,23,63.3333,0.3209876543209875
16,20,26,66.6667,0.3589743589743589
18,22,27,70.0,0.3999999999999999
2,2,4,60.0,0.0
3,4,7,60.0,0.0
4,5,8,46.6667,-0.05263157894736844
5,6,9,46.6667,-0.05263157894736844
6,7,10,46.6667,-0.05263157894736844
7,8,11,46.6667,-0.05263157894736844
8,9,15,46.6667,-0.05263157894736844
9,10,19,50.0,0.0
11,12,23,56.6667,0.10958904109589043
12,13,25,53.3333,0.05405405405405396
14,15,26,56.6667,0.1333333333333333
15,16,27,50.0,0.0
2,2,7,80.0,0.5945945945945946
3,3,11,83.3333,0.6376811594202899
4,5,12,83.3333,0.6376811594202899
5,6,15,83.3333,0.6478873239436621
6,7,16,90.0,0.7887323943661972
7,8,18,80.0,0.5833333333333334
8,9,21,86.6667,0.7368421052631581
10,11,22,86.6667,0.7368421052631581
11,12,25,76.6667,0.5333333333333334
13,14,27,90.0,0.8
3,3,8,40.0,0.0
4,4,9,40.0,0.0
5,6,12,40.0,0.0
6,7,13,63.3333,0.3373493975903614
7,8,14,63.3333,0.3373493975903614
8,9,18,96.6667,0.9315068493150686
10,11,23,86.6667,0.7142857142857143
11,12,27,83.3333,0.6376811594202899
2,2,7,60.0,0.0
3,3,8,60.0,0.0
4,4,12,60.0,0.0
5,5,13,60.0,0.0
6,6,14,60.0,0.0
7,7,15,60.0,0.0
8,8,16,60.0,0.0
9,9,17,60.0,0.0
10,10,18,60.0,0.0
11,11,21,60.0,0.0
13,13,27,63.3333,0.0
3,3,9,73.3333,0.4999999999999999
4,4,12,70.0,0.4444444444444443
5,5,16,86.6667,0.7368421052631581
6,7,17,80.0,0.605263157894737
7,8,20,86.6667,0.7368421052631581
8,9,21,86.6667,0.7368421052631581
10,11,24,76.6667,0.5454545454545455
11,12,25,76.6667,0.5333333333333334
13,14,27,90.0,0.8
2,2,7,46.6667,-0.25000000000000006
3,3,8,60.0,0.0
4,4,9,60.0,0.0
5,5,13,56.6667,-0.06557377049180343
6,6,14,46.6667,-0.11111111111111113
7,7,17,56.6667,-0.06557377049180343
8,8,21,56.6667,-0.06557377049180343
10,10,23,66.6667,0.24242424242424224
11,11,25,53.3333,-0.06060606060606075
13,13,27,60.0,0.09090909090909075
2,2,7,60.0,0.0
3,3,8,60.0,0.0
4,5,11,60.0,0.0
5,6,12,63.3333,0.22535211267605637
6,7,13,63.3333,0.22535211267605637
7,8,14,63.3333,0.22535211267605637
8,9,15,63.3333,0.22535211267605637
9,10,19,50.0,0.0
11,12,21,50.0,0.0
12,13,25,53.3333,0.05405405405405396
14,15,26,56.6667,0.10958904109589043
15,16,27,50.0,0.0
3,4,6,40.0,0.0
4,5,9,36.6667,-0.09195402298850576
5,6,10,23.3333,-0.38554216867469876
6,7,11,23.3333,-0.35294117647058826
7,8,12,26.6667,-0.2790697674418606
8,9,13,36.6667,-0.2025316455696203
9,10,14,53.3333,0.1463414634146342
10,11,15,46.6667,0.0
11,12,19,63.3333,0.2666666666666666
12,13,20,63.3333,0.2465753424657534
13,14,21,66.6667,0.30555555555555547
15,16,24,70.0,0.3999999999999999
16,17,26,80.0,0.6153846153846155
18,19,27,66.6667,0.3421052631578947
2,3,4,60.0,0.0
3,4,7,53.3333,-0.12903225806451615
4,5,8,56.6667,-0.03174603174603168
5,6,12,50.0,-0.08695652173913052
6,7,13,46.6667,-0.21212121212121224
7,8,14,46.6667,-0.21212121212121224
8,9,18,46.6667,-0.21212121212121224
9,10,21,53.3333,-0.09375000000000008
11,12,23,50.0,-0.1538461538461538
12,13,25,50.0,-0.11940298507462689
14,15,27,56.6667,0.05797101449275352
3,3,9,73.3333,0.4999999999999999
4,4,12,70.0,0.4444444444444443
5,5,16,86.6667,0.7368421052631581
6,7,17,80.0,0.605263157894737
7,8,20,86.6667,0.7368421052631581
8,9,21,86.6667,0.7368421052631581
10,11,24,76.6667,0.5454545454545455
11,12,25,76.6667,0.5333333333333334
13,14,27,90.0,0.8
3,4,6,40.0,0.0
4,5,9,36.6667,-0.09195402298850576
5,6,10,23.3333,-0.38554216867469876
6,7,11,23.3333,-0.35294117647058826
7,8,12,26.6667,-0.2790697674418606
8,9,13,36.6667,-0.2025316455696203
9,10,14,53.3333,0.1463414634146342
10,11,15,46.6667,0.0
11,12,19,63.3333,0.2666666666666666
12,13,20,63.3333,0.2465753424657534
13,14,21,66.6667,0.30555555555555547
15,16,24,70.0,0.3999999999999999
16,17,26,80.0,0.6153846153846155
18,19,27,66.6667,0.3421052631578947
3,3,8,40.0,0.0
4,4,9,40.0,0.0
5,6,12,40.0,0.0
6,7,13,63.3333,0.3373493975903614
7,8,14,63.3333,0.3373493975903614
8,9,18,96.6667,0.9315068493150686
10,11,23,86.6667,0.7142857142857143
11,12,27,83.3333,0.6376811594202899
2,2,4,40.0,0.0
3,4,7,40.0,0.0
4,5,8,100.0,1.0
5,6,9,100.0,1.0
6,7,13,100.0,1.0
7,8,15,96.6667,0.9295774647887324
8,9,18,96.6667,0.9315068493150686
10,11,20,83.3333,0.6575342465753425
