2,2,2,80.0,0.0
3,4,4,80.0,0.0
4,5,7,76.6667,0.22222222222222252
5,6,8,56.6667,-0.03174603174603168
6,7,9,66.6667,-0.04166666666666694
7,8,15,66.6667,0.07407407407407393
8,9,16,53.3333,-0.16666666666666663
9,10,17,66.6667,0.07407407407407393
10,11,21,83.3333,0.24242424242424251
11,12,22,73.3333,-0.11111111111111137
12,13,23,80.0,0.16666666666666682
14,15,26,76.6667,0.22222222222222252
15,16,27,73.3333,0.047619047619047526
3,3,7,40.0,0.0
4,4,8,40.0,0.0
5,5,12,40.0,0.0
6,6,18,40.0,0.0
7,8,21,33.3333,-0.1627906976744187
8,9,22,26.6667,-0.2790697674418606
9,10,23,36.6667,-0.09195402298850576
11,12,25,36.6667,-0.09195402298850576
12,13,26,36.6667,-0.09195402298850576
14,15,27,43.3333,-0.024096385542168627
2,2,2,60.0,0.0
3,3,6,60.0,0.0
4,4,7,60.0,0.0
5,5,8,63.3333,0.09836065573770475
6,6,9,60.0,0.0
7,7,12,63.3333,0.09836065573770475
8,8,16,63.3333,0.09836065573770475
9,9,17,63.3333,0.09836065573770475
10,10,21,63.3333,0.09836065573770475
11,11,22,63.3333,0.126984126984127
12,12,23,60.0,0.03225806451612897
14,14,27,63.3333,0.126984126984127
2,2,2,60.0,0.0
3,3,6,60.0,0.0
4,4,7,60.0,0.0
5,5,8,60.0,0.0
6,6,9,60.0,0.0
7,7,15,60.0,0.0
8,8,16,60.0,0.0
9,9,17,56.6667,-0.06557377049180343
10,10,20,56.6667,0.0845070422535212
11,11,22,56.6667,0.02985074626865666
12,12,23,50.0,-0.1538461538461538
14,14,25,60.0,0.03225806451612897
15,15,27,73.3333,0.41176470588235287
2,2,6,60.0,0.0
3,3,7,60.0,0.0
4,4,8,60.0,0.0
5,5,9,56.6667,-0.06557377049180343
6,6,10,60.0,0.0
7,7,13,60.0,0.0
8,8,18,60.0,0.0
9,10,19,60.0,0.0
10,11,22,50.0,-0.1538461538461538
11,12,23,60.0,0.09090909090909075
12,13,24,53.3333,-0.09375000000000008
14,15,25,63.3333,0.09836065573770475
15,16,26,56.6667,-0.03174603174603168
17,18,27,53.3333,-0.09375000000000008
2,2,2,80.0,0.0
3,3,3,80.0,0.0
4,5,4,80.0,0.0
5,6,7,73.3333,0.16666666666666638
6,7,8,56.6667,0.05797101449275352
7,8,9,76.6667,0.1025641025641028
8,9,10,70.0,0.0
9,10,16,76.6667,-0.0606060606060605
10,11,20,80.0,0.0
11,12,23,73.3333,-0.11111111111111137
13,14,24,80.0,0.0
14,15,26,76.6667,-0.0606060606060605
16,17,27,80.0,0.16666666666666682
4,4,7,100.0,1.0
5,5,8,100.0,1.0
6,6,12,33.3333,0.0
7,7,13,43.3333,0.0
8,8,14,56.6667,0.0
9,9,15,66.6667,0.0
10,10,19,70.0,0.0
11,11,21,80.0,0.0
13,13,23,83.3333,0.0
14,14,26,76.6667,0.0
16,16,27,66.6667,0.0
2,3,2,80.0,0.0
3,4,5,70.0,-0.15384615384615397
4,5,6,53.3333,0.10256410256410257
5,6,8,70.0,0.2857142857142857
6,7,13,66.6667,-0.1904761904761905
7,8,14,83.3333,0.24242424242424251
8,9,15,80.0,0.0
9,10,16,76.6667,-0.0606060606060605
10,11,17,80.0,0.0
11,12,18,80.0,0.0
12,13,22,80.0,0.0
14,15,25,73.3333,0.047619047619047526
15,16,27,86.6667,0.5833333333333334
2,2,5,23.3333,-0.03603603603603604
3,3,6,20.0,-0.4285714285714285
4,4,7,40.0,-0.25
5,5,10,60.0,-0.2500000000000003
6,6,15,50.0,-0.3157894736842105
7,7,16,50.0,-0.3157894736842105
8,8,17,50.0,-0.3157894736842105
