2,2,2,40.0,-0.15384615384615377
3,3,3,50.0,-0.08695652173913052
4,4,4,26.6667,-0.07843137254901963
5,5,5,30.0,-0.12903225806451615
6,6,6,43.3333,-0.23188405797101455
7,7,7,50.0,0.0
8,8,11,43.3333,-0.23188405797101455
9,9,12,53.3333,-0.16666666666666663
10,10,13,56.6667,-0.27450980392156876
11,12,14,30.0,-0.2068965517241379
12,13,17,53.3333,-0.16666666666666663
13,14,21,63.3333,-0.07843137254901979
15,16,27,56.6667,-0.14035087719298248
2,2,2,73.3333,0.4871794871794871
3,3,3,76.6667,0.5205479452054795
4,4,4,60.0,0.1666666666666666
5,5,5,46.6667,-0.08108108108108115
6,6,6,70.0,0.3661971830985915
7,7,8,56.6667,0.02985074626865666
8,8,10,53.3333,-0.029411764705882297
9,9,11,50.0,-0.08695652173913052
10,10,14,56.6667,0.0
11,11,15,50.0,-0.11940298507462689
12,12,21,50.0,-0.19047619047619035
13,13,22,53.3333,-0.12903225806451615
15,15,27,46.6667,-0.21212121212121224
2,2,2,40.0,-0.07142857142857138
3,3,3,36.6667,-0.021505376344086072
4,4,6,76.6667,0.22222222222222252
5,5,7,80.0,0.37500000000000006
6,6,8,76.6667,0.1025641025641028
7,7,12,83.3333,0.24242424242424251
8,8,13,80.0,0.0
9,9,14,73.3333,-0.11111111111111137
10,11,16,76.6667,-0.0606060606060605
11,12,17,76.6667,-0.0606060606060605
12,13,18,76.6667,0.1025641025641028
13,14,19,76.6667,-0.0606060606060605
14,15,20,73.3333,-0.11111111111111137
15,16,21,80.0,0.16666666666666682
17,18,27,63.3333,0.126984126984127
2,2,5,53.3333,0.027777777777777728
3,3,6,53.3333,-0.09375000000000008
4,4,7,50.0,-0.1538461538461538
5,5,10,53.3333,-0.12903225806451615
6,6,12,53.3333,-0.09375000000000008
7,7,13,53.3333,-0.06060606060606075
8,8,14,50.0,-0.11940298507462689
9,9,15,53.3333,-0.12903225806451615
10,10,18,60.0,0.0
11,11,19,56.6667,-0.03174603174603168
12,12,20,53.3333,-0.06060606060606075
