Context,GeneralAttribute,Label,Objects
lift_haptics,weight,light,"pale_yellow_cup,blue_squish_ball"
lift_haptics,weight,light,"scotch_tape_box,excetrine_medicine_box,yellow_mustard_bottle,regular_creamcheese_box,red_bull_pop_can"
lift_haptics,weight,light,"big_red_pop_can"
lift_haptics,weight,light,"christmas_red_container,tin_can,red_tall_cup"
lift_haptics,weight,light,"stainless_steel_cannister,green_tall_cup,blue_salt_can"
lift_haptics,weight,heavy,"red_water_bottle"
lift_haptics,weight,light,"dark_blue_sunfounder_box,wooden_cylindrical_container,blue_tall_cup"
lift_haptics,weight,heavy,"green_water_bottle"
lift_haptics,weight,heavy,"tennis_container_split_peas"
lift_haptics,weight,heavy,"silver_cappuccino_maker,yellow_water_bottle,wooden_knife_stand,red_ketchup_bottle"
lift_haptics,weight,heavy,"mac_and_cheese_box,wooden_melon_tea_box,dark_green_sports_bottle"
grasp_size,size,small,"scotch_tape_box,stainless_steel_cannister,blue_tall_cup,red_water_bottle,blue_squish_ball"
grasp_size,size,large,"red_bull_pop_can,big_red_pop_can,tin_can,pale_yellow_cup,blue_salt_can"
grasp_size,size,large,"christmas_red_container,yellow_water_bottle,green_water_bottle"
grasp_size,size,small,"yellow_mustard_bottle,excetrine_medicine_box"
grasp_size,size,small,"wooden_cylindrical_container,regular_creamcheese_box"
grasp_size,size,large,"silver_cappuccino_maker,wooden_knife_stand,wooden_melon_tea_box,green_tall_cup,dark_green_sports_bottle,tennis_container_split_peas"
grasp_size,size,small,"red_tall_cup"
grasp_size,size,small,"mac_and_cheese_box,dark_blue_sunfounder_box,red_ketchup_bottle"
look_color,color,silver,"silver_cappuccino_maker,tin_can,stainless_steel_cannister"
look_color,color,green,"dark_green_sports_bottle,tennis_container_split_peas"
look_color,color,brown,"wooden_melon_tea_box"
look_color,color,green,"scotch_tape_box"
look_color,color,red,"big_red_pop_can"
look_color,color,brown,"wooden_knife_stand,wooden_cylindrical_container"
look_color,color,red,"red_tall_cup,red_ketchup_bottle,red_water_bottle,christmas_red_container,excetrine_medicine_box"
look_color,color,blue,"blue_salt_can"
look_color,color,grey,"regular_creamcheese_box"
look_color,color,green,"green_tall_cup,green_water_bottle"
look_color,color,blue,"mac_and_cheese_box,dark_blue_sunfounder_box,red_bull_pop_can"
look_color,color,yellow,"yellow_water_bottle,pale_yellow_cup,yellow_mustard_bottle"
look_color,color,blue,"blue_squish_ball,blue_tall_cup"
revolve_audio,has_contents,empty ,"tin_can"
revolve_audio,has_contents,empty,"green_tall_cup"
revolve_audio,has_contents,empty,"regular_creamcheese_box"
revolve_audio,has_contents,empty,"red_tall_cup"
revolve_audio,has_contents,filled,"wooden_melon_tea_box,excetrine_medicine_box,yellow_water_bottle,blue_salt_can,red_ketchup_bottle"
revolve_audio,has_contents,filled,"dark_green_sports_bottle,red_water_bottle"
revolve_audio,has_contents,empty,"stainless_steel_cannister,green_water_bottle,blue_squish_ball,dark_blue_sunfounder_box,blue_tall_cup,red_bull_pop_can"
revolve_audio,has_contents,empty,"wooden_cylindrical_container"
revolve_audio,has_contents,empty,"big_red_pop_can"
revolve_audio,has_contents,empty,"scotch_tape_box"
revolve_audio,has_contents,empty,"wooden_knife_stand"
revolve_audio,has_contents,empty,"pale_yellow_cup"
revolve_audio,has_contents,empty,"christmas_red_container"
revolve_audio,has_contents,empty,"silver_cappuccino_maker"
revolve_audio,has_contents,empty,"yellow_mustard_bottle"
revolve_audio,has_contents,filled,"mac_and_cheese_box,tennis_container_split_peas"
drop_audio,material,metal,"stainless_steel_cannister"
drop_audio,material,metal,"silver_cappuccino_maker"
drop_audio,material,paper,"blue_salt_can"
drop_audio,material,paper,"scotch_tape_box,mac_and_cheese_box,excetrine_medicine_box,dark_blue_sunfounder_box,regular_creamcheese_box"
drop_audio,material,metal,"big_red_pop_can"
drop_audio,material,plastic,"red_tall_cup"
drop_audio,material,wood,"wooden_knife_stand,wooden_melon_tea_box,wooden_cylindrical_container"
