object_names,color,shape,material,has_contents,height (mm),weight,deformable,width (mm),deformable with press_haptics
silver_cappuccino_maker,silver,cylindrical,metal,empty,111,246,no,87,no
christmas_red_container,red,cylindrical,metal,empty,94,75,no,75,no
mac_and_cheese_box,blue,cuboid,paper,filled,182,140,yes,40,no
yellow_water_bottle,yellow,cylindrical,plastic,filled,226,382,no,68,no
tin_can,silver,cylindrical,metal,empty ,113,51,no,77,no
wooden_knife_stand,brown,cuboid,wood,empty,138,312,no,64,no
dark_blue_sunfounder_box,blue,cuboid,paper,empty,71,8,yes,33,no
red_tall_cup,red,cylindrical,plastic,empty,167,58,no,60,no
wooden_pepper_grinder,brown,cylindrical,wood,empty,95,102,no,53,no
starbucks_doubleshot_hazelnut,brown,cylindrical,metal,empty,157,16,yes,61,yes
scotch_tape_box,green,cuboid,paper,empty,68,7,yes,68,no
stainless_steel_cannister,silver,cylindrical,metal,empty,82,80,no,60,no
wooden_melon_tea_box,brown,cuboid,wood,filled,71,138,no,72,no
green_water_bottle,green,cylindrical,plastic,empty,238,126,no,74,no
pale_yellow_cup,yellow,cylindrical,plastic,empty,123,40,yes,75,yes
big_red_pop_can,red,cylindrical,metal,empty,123,13,yes,67,yes
blue_squish_ball,blue,spherical,plastic,empty,91,47,yes,59,no
green_tall_cup,green,cylindrical,plastic,empty,150,79,no,61,no
excetrine_medicine_box,red,cuboid,paper,filled,45,17,yes,45,no
yellow_mustard_bottle,yellow,cylindrical,plastic,empty,187,33,yes,60,yes
wooden_cylindrical_container,brown,cylindrical,wood,empty,85,58,no,53,no
red_ketchup_bottle,red,cylindrical,plastic,filled,187,264,yes,58,yes
lysol_container,yellow,cylindrical,plastic,empty,215,88,yes,105,no
regular_creamcheese_box,grey,cuboid,paper,empty,74,8,yes,31,no
dark_green_sports_bottle,green,cylindrical,plastic,filled,200,225,yes,76,yes
yellow_squish_ball,yellow,spherical,plastic,empty,91,47,yes,59,no
red_water_bottle,red,cylindrical,plastic,filled,234,617,no,60,no
blue_salt_can,blue,cylindrical,paper,filled,138,79,no,87,no
tennis_container_split_peas,green,cylindrical,plastic,filled,217,400,yes,70,yes
blue_tall_cup,blue,cylindrical,plastic,empty,150,84,no,60,no
tiny_metallic_can,silver,cylindrical,metal,filled,53,275,no,85,no
red_bull_pop_can,blue,cylindrical,metal,empty,176,15,yes,61,yes
