3,1,1
4,2,2
6,3,3
7,4,4
13,5,5
14,6,6
15,7,7
16,8,8
22,9,9
23,10,10
27,11,11
2,1,1
3,2,2
4,3,3
10,4,4
11,5,5
12,6,6
13,7,8
16,8,9
17,9,10
18,10,11
22,11,12
23,12,13
24,14,15
25,15,16
26,16,17
27,18,19
5,1,1
6,2,2
7,3,3
10,4,4
11,5,5
17,6,6
18,7,7
19,8,8
20,9,9
23,10,10
25,12,12
26,13,13
27,15,15
4,1,1
5,2,2
6,3,3
11,4,4
12,5,5
13,6,6
17,7,7
22,8,8
23,9,9
24,11,11
25,12,12
27,14,14
5,1,1
6,2,2
7,3,3
8,4,4
9,5,5
10,6,6
15,7,7
16,8,8
17,9,9
18,10,10
19,11,11
22,12,12
24,14,14
26,15,15
27,17,17
1,1,1
2,2,2
6,3,3
8,4,4
12,5,5
14,6,6
15,7,7
19,8,8
23,9,9
25,11,11
26,12,12
27,14,14
1,1,1
4,2,2
5,3,3
11,4,4
13,5,5
14,6,6
15,7,7
20,8,8
21,9,9
22,10,10
24,11,11
25,13,13
26,14,14
27,16,16
5,1,1
6,2,2
8,3,3
9,4,4
10,5,5
11,6,6
16,7,7
17,8,8
18,9,9
20,10,10
21,11,11
23,12,12
24,13,13
26,15,15
27,16,16
4,1,1
9,2,2
10,3,3
12,4,4
15,5,5
20,6,6
21,7,7
22,8,8
23,9,9
24,11,11
26,12,12
27,14,14
