2,1,1
3,2,2
4,3,3
5,4,4
7,5,6
9,6,7
10,7,8
13,8,9
16,9,10
19,10,11
20,11,12
22,12,13
23,14,15
24,15,16
26,16,17
27,18,19
1,1,1
2,2,2
3,3,4
4,4,6
6,5,7
7,6,8
9,7,9
11,8,10
13,9,11
17,10,12
20,11,13
23,13,15
24,14,16
25,15,17
26,17,19
27,18,20
1,1,3
3,2,4
4,3,5
8,4,6
9,5,7
10,6,8
12,7,9
16,8,10
21,9,11
22,10,12
23,12,14
26,13,15
27,15,17
1,1,1
3,2,3
5,3,4
6,4,5
8,5,6
9,6,7
11,7,8
14,8,9
17,9,10
18,10,11
20,11,12
22,13,14
23,14,15
25,15,16
26,17,18
27,18,19
2,1,1
3,2,2
6,3,3
10,4,4
11,5,5
15,6,6
16,7,8
18,8,9
20,9,10
21,10,11
22,12,13
24,13,14
25,14,15
26,16,17
27,17,18
4,1,1
9,2,2
10,3,3
12,4,4
13,5,5
14,6,6
15,7,8
16,8,10
18,9,11
20,10,12
23,12,14
24,13,15
25,14,16
26,16,18
27,17,19
2,1,1
3,2,2
7,3,3
8,4,4
9,5,5
11,6,6
16,7,7
20,8,8
22,10,10
23,11,11
24,12,12
25,13,13
26,15,15
27,16,16
1,1,1
3,2,2
4,3,3
7,4,5
8,5,6
9,6,7
11,7,8
13,8,9
18,9,10
19,10,11
22,11,12
23,13,14
27,14,15
2,1,1
3,2,2
6,3,3
10,4,4
12,5,5
13,6,6
14,7,7
15,8,8
17,9,10
19,10,11
21,11,12
23,12,13
24,14,15
25,15,16
26,17,18
27,18,19
