1,1,1
7,2,2
8,3,3
9,4,4
10,5,6
12,6,7
13,7,8
15,8,9
16,9,10
19,10,12
20,11,13
21,12,14
22,14,16
23,15,17
1,1,1
2,2,2
5,3,3
6,4,4
7,5,5
9,6,6
14,7,7
15,8,8
16,9,9
20,10,10
21,11,11
22,13,13
24,14,14
26,15,15
27,17,17
6,1,1
7,2,2
8,3,3
9,4,4
10,5,5
11,6,6
15,7,7
16,8,8
21,9,9
22,10,10
23,11,11
24,13,13
25,14,14
26,15,15
27,17,17
3,1,1
4,2,2
8,3,3
9,4,4
12,5,5
13,6,6
14,7,7
15,8,8
20,9,9
21,10,10
22,12,12
23,13,13
24,14,14
26,15,15
27,17,17
6,1,1
7,2,2
8,3,3
12,4,4
14,5,5
17,6,6
18,7,7
19,8,8
20,9,9
21,10,10
22,12,12
24,13,13
25,14,14
27,16,16
1,1,1
2,2,2
3,3,3
4,4,4
8,5,5
10,6,6
15,7,7
16,8,8
22,9,9
23,11,11
25,12,12
26,13,13
27,15,15
1,1,1
2,2,2
3,3,3
6,4,4
7,5,5
12,6,6
16,7,7
17,8,8
18,9,9
24,10,10
25,12,12
26,13,13
27,15,15
1,1,1
2,2,2
7,3,3
8,4,4
10,5,5
11,6,6
14,7,7
15,8,8
16,9,9
19,10,10
20,11,11
21,13,13
22,14,14
23,15,15
24,16,16
26,18,18
27,19,19
1,1,1
5,2,2
6,3,3
7,4,4
9,5,5
11,6,6
12,7,7
14,8,8
15,9,9
16,10,10
17,11,11
18,13,13
19,14,14
20,15,15
21,16,16
24,17,17
26,19,19
27,20,20
