1,1,1
2,2,2
7,3,3
10,4,4
12,5,5
16,6,6
17,7,7
18,8,8
21,9,10
22,10,11
23,12,13
25,13,14
26,15,16
27,16,17
1,1,1
2,2,2
6,3,3
8,4,4
11,5,6
12,6,7
14,7,8
17,8,9
19,9,10
21,11,12
24,12,13
26,13,14
27,15,16
4,1,1
5,2,2
9,3,3
10,4,4
16,5,5
19,6,6
20,7,7
21,9,9
22,10,10
23,11,11
24,12,12
26,13,13
27,15,15
3,1,1
6,2,2
8,3,3
10,4,4
13,5,5
14,6,6
15,7,7
20,8,8
22,9,9
23,11,11
25,12,12
26,14,14
27,15,15
1,1,1
5,2,2
7,3,3
9,4,4
10,5,5
13,6,7
14,7,8
16,8,9
21,9,10
22,11,12
24,12,13
25,13,14
26,15,16
27,16,17
2,1,1
3,2,2
7,3,3
8,4,4
11,5,5
15,6,6
16,7,7
17,8,8
20,9,9
21,10,10
22,12,12
23,13,13
25,14,14
26,15,15
27,17,17
1,1,1
5,2,2
6,3,3
12,4,4
14,5,5
16,6,6
21,7,7
22,8,8
24,10,10
25,11,11
26,12,12
27,14,14
1,1,1
4,2,2
8,3,3
10,4,4
15,5,5
16,6,6
17,7,7
19,8,8
21,9,9
22,10,10
23,12,12
26,13,13
27,15,15
2,1,1
3,2,2
7,3,3
10,4,4
15,5,5
16,6,6
19,7,7
21,8,8
22,10,10
24,11,11
26,12,12
27,14,14
