Context,GeneralAttribute,Label,Objects
look_color,color,Silver,"silver_cappuccino_maker,tin_can"
look_color,color,Dark Green,"dark_green_sports_bottle"
look_color,color,Green,"tennis_container_split_peas"
look_color,color,Dark Blue,"dark_blue_sunfounder_box,red_bull_pop_can"
look_color,color,Light Blue,"blue_salt_can"
look_color,color,Reddish,"christmas_red_container,starbucks_doubleshot_hazelnut,big_red_pop_can"
look_color,color,Yellow,"yellow_water_bottle,pale_yellow_cup,yellow_mustard_bottle,yellow_squish_ball"
look_color,color,Blue,"blue_squish_ball,blue_tall_cup"
look_color,color,Dark Brown,"wooden_pepper_grinder"
look_color,color,Gray,"regular_creamcheese_box"
look_color,color,Red,"red_water_bottle,excetrine_medicine_box,red_tall_cup"
look_color,color,Light Green,"green_tall_cup,scotch_tape_box,green_water_bottle"
look_color,color,Light Wood Brown,"wooden_knife_stand,wooden_cylindrical_container"
look_color,color,Pink,"wooden_melon_tea_box"
