object_names,color,shape,material,has_contents,height,weight,deformable,size,deformable_from_top
silver_cappuccino_maker,silver,cylindrical,metal,empty,short,heavy,Non-deformable,wide,Non-deformable
christmas_red_container,red,cylindrical,metal,empty,short,light,Non-deformable,wide,Non-deformable
mac_and_cheese_box,blue,cuboid,paper,filled,tall,heavy,Deformable,thin,Non-deformable
yellow_water_bottle,yellow,cylindrical,plastic,filled,tall,heavy,Non-deformable,wide,Non-deformable
tin_can,silver,cylindrical,metal,empty,short,light,Non-deformable,wide,Non-deformable
wooden_knife_stand,brown,cuboid,wood,empty,short,heavy,Non-deformable,wide,Non-deformable
dark_blue_sunfounder_box,blue,cuboid,paper,empty,short,light,Deformable,thin,Non-deformable
red_tall_cup,red,cylindrical,plastic,empty,tall,light,Non-deformable,thin,Non-deformable
wooden_pepper_grinder,brown,cylindrical,wood,empty,short,heavy,Non-deformable,thin,Non-deformable
starbucks_doubleshot_hazelnut,brown,cylindrical,metal,empty,tall,light,Deformable,thin,Deformable
scotch_tape_box,green,cuboid,paper,empty,short,light,Deformable,wide,Non-deformable
stainless_steel_cannister,silver,cylindrical,metal,empty,short,light,Non-deformable,thin,Non-deformable
wooden_melon_tea_box,brown,cuboid,wood,filled,short,heavy,Non-deformable,wide,Non-deformable
green_water_bottle,green,cylindrical,plastic,empty,tall,heavy,Non-deformable,wide,Non-deformable
pale_yellow_cup,yellow,cylindrical,plastic,empty,short,light,Deformable,wide,Deformable
big_red_pop_can,red,cylindrical,metal,empty,short,light,Deformable,wide,Deformable
blue_squish_ball,blue,spherical,plastic,empty,short,light,Deformable,thin,Non-deformable
green_tall_cup,green,cylindrical,plastic,empty,short,light,Non-deformable,thin,Non-deformable
excetrine_medicine_box,red,cuboid,paper,filled,short,light,Deformable,thin,Non-deformable
yellow_mustard_bottle,yellow,cylindrical,plastic,empty,tall,light,Deformable,thin,Deformable
wooden_cylindrical_container,brown,cylindrical,wood,empty,short,light,Non-deformable,thin,Non-deformable
red_ketchup_bottle,red,cylindrical,plastic,filled,tall,heavy,Deformable,thin,Deformable
lysol_container,yellow,cylindrical,plastic,empty,tall,light,Deformable,wide,Non-deformable
regular_creamcheese_box,grey,cuboid,paper,empty,short,light,Deformable,thin,Non-deformable
dark_green_sports_bottle,green,cylindrical,plastic,filled,tall,heavy,Deformable,wide,Deformable
yellow_squish_ball,yellow,spherical,plastic,empty,short,light,Deformable,thin,Non-deformable
red_water_bottle,red,cylindrical,plastic,filled,tall,heavy,Non-deformable,thin,Non-deformable
blue_salt_can,blue,cylindrical,paper,filled,short,light,Non-deformable,wide,Non-deformable
tennis_container_split_peas,green,cylindrical,plastic,filled,tall,heavy,Deformable,wide,Deformable
blue_tall_cup,blue,cylindrical,plastic,empty,short,light,Non-deformable,thin,Non-deformable
tiny_metallic_can,silver,cylindrical,metal,filled,short,heavy,Non-deformable,wide,Non-deformable
red_bull_pop_can,blue,cylindrical,metal,empty,tall,light,Deformable,thin,Deformable
